Brand,Product Name,Rating,No. of Ratings,Discounted Price,Original Price,Discount,Offer Price
SENTIRE,Casanova Fruity Long Lasting Perfume,N/A,N/A,₹475,₹500,(5% off),₹410
The Man Company,Set of 3 Privilege Legend with Bold & Active Body Sprays,3.6,16,₹475,₹897,(47% off),₹404
Embark,Men My Life for Him Citrus & Ambery Luxury Eau De Parfum,4,11,₹608,₹845,(28% off),₹499
EDW Essenza,Mikkel Verde Eau De Toilette,4.7,3,"₹3,230","₹4,250",(24% off),"₹2,593"
AJMAL,Artisan - Oudh Smear Long Lasting Hand Picked Luxury Perfume for Men,3.1,8,₹503,₹899,(44% off),₹405
COLOUR ME,Homme Green Eau De Parfum,3.7,7,₹699,N/A,N/A,₹545
The Man Company,Joy Eau De Parfum,4.2,26,₹675,"₹1,499",(55% off),₹591
DEMI DIEUS,Set of 4 Men Eau De Parfume Gift Set,N/A,N/A,₹345,"₹1,499",(77% off),₹319
COLOUR ME,Homme Abstract Art Eau De Parfum,4,8,₹699,N/A,N/A,₹545
Whiskers,Haunted Eau De Parfum for Men,N/A,N/A,₹649,₹999,(35% off),₹568
PARK AVENUE,Pack of 4 Luxury Men Perfume Gift Set for Men,4.7,3,₹747,₹849,(12% off),₹535
Beardo,Godfather Solid Perfume for Men,N/A,N/A,₹374,₹499,(25% off),₹327
TABAC,Original Eau De Toilette Natural Spray,3.5,6,"₹1,920","₹2,400",(20% off),"₹1,512"
Reebok,Men Eau de Toilette Inspire Your Mind for Men,3.5,26,₹500,₹999,(50% off),₹437
Pilgrim,The Impressions Collection 3 In 1 EDP Gift Box,N/A,N/A,₹519,₹799,(35% off),₹363
FW FAUN WALK,Men Long-Lasting Minimalist Perfume,N/A,N/A,₹664,₹699,(5% off),₹573
Beardo,Don & Mariner Eau De Parfum Set for Men,3.9,9,₹270,₹599,(55% off),₹236
Beardo,Legendary 7 Assorted Perfume Gift Set,3.1,20,₹550,"₹1,099",(50% off),₹481
ENGAGE,Mate Deodorant Spray Combo for Men,3.8,9,₹350,N/A,N/A,₹252
Beardo,Mariner Eau De Parfum for Men,4,5,₹181,₹349,(48% off),₹158
RIFFWAY,Men Angel Perfume Long-Lasting Natural Fragrance,N/A,N/A,₹220,₹999,(78% off),N/A
Beardo,Pack of 2 Whisky Smoke & Bourbon Long Lasting Deo Body Spray Combo For Men,4,4,₹216,₹698,(69% off),₹203
The Man Company,Men Polo Red Eau De Parfum,3.9,10,₹494,₹899,(45% off),₹405
La French,War Zone Eau De Parfum For Men,3.7,13,₹189,₹650,(71% off),N/A
